Well ID,Avg Pump Difference,Area,Lateral Length,Fluid System,TVD,Development Strategy,DELAYED,BOUND_CODE,PARENT_CODEV_1050_WELL_COUNT,PARENT_IN_ZONE_MIN_HYPOT,PARENT_1050_WELL_COUNT,PARENT_3000_AVG_HYPOT_DIST,PARENT_3000_WELL_COUNT,CODEV_IN_ZONE_MIN_HYPOT,CODEV_1050_WELL_COUNT,CODEV_3000_AVG_HYPOT_DIST,CODEV_3000_AVG_TVD_DIST,CODEV_3000_AVG_WELL_AGE,CODEV_3000_MEDIAN_WELL_AGE,CODEV_3000_WELL_COUNT,Pressure Gradient (psi/ft) new,Soak Time,Avg Open Pressure,SD Open Pressure,Avg Close Pressure,SD Close Pressure
35,-1.31,Everglades,9600,Williams,8160,Coke,1,10001000,2,616,1,1870,7,569,1,1601,44,5,5,4,0.496985182,39,2829.617284,234.5,2608.790227,535
36,22.29,Grand Canyon,11900,Williams,8160,Coke,1,10001000,2,616,1,1870,7,569,1,1601,44,5,5,4,0.560853528,47,2895.781701,154.3,2045.250442,364.2
37,2.02,Everglades,10100,Williams,8160,Coke,1,10001000,2,616,1,1870,7,569,1,1601,44,5,5,4,0.495762089,102,2862.54691,211.7,2273.230704,694.7
38,-1.6,Everglades,9800,Williams,8160,Coke,1,10001000,2,616,1,1870,7,569,1,1601,44,5,5,4,0.497091697,101,2900.09162,158.9,2282.820439,710.3
39,35.92,Grand Canyon,12100,Williams,8160,Coke,1,10001000,2,616,1,1870,7,569,1,1601,44,5,5,4,0.55510365,124,2679.837799,177.3,1772.547649,308.3
40,5.66,Grand Canyon,7600,Campbell,9475,Orange Crush,0,111000,3,2192.996338,0,2158.015137,0,787,3,1263,689,-1.4,-1.5,10,0.575120123,59,3182.050596,138.9,2574.363601,548
41,22.17,Grand Teton,12600,Williams,10675,Coke,1,11111000,1,1352,0,2468,27,1000,1,2181,1228,-30.3,-30.5,4,0.493067694,48,3005.113167,133.9,2282.086287,517.5
42,,Grand Canyon,7600,Campbell,9475,Orange Crush,0,111000,3,2192.996338,0,2158.015137,0,787,3,1263,689,-1.4,-1.5,10,0.577162336,124,3188.784956,153.3,2573.689381,522.2
43,21.61,Grand Teton,12600,Williams,10675,Coke,1,11111000,1,1352,0,2468,27,1000,1,2181,1228,-30.3,-30.5,4,0.493275362,120,2971.983301,112.4,2142.592613,376.5
44,29.69,Grand Teton,12600,Williams,10675,Coke,1,11111000,2,2000,0,2514,26,1000,2,2587,1531,7.1,33,9,0.490279015,185,2845.631012,105.7,2129.566772,363.4
45,16.52,Great Basin,9800,Campbell,10585,Coke,1,11111000,1,2563,0,2695,31,932,1,1763,9,26.7,40,3,0.535544531,148,3141.92177,277.2,1392.658407,214.7
46,-2.68,Great Sand Dunes,7500,Campbell,8485,Orange Crush,1,11111111,4,1374,2,1870,27,1298,2,1073,396,1.2,1,5,0.566905359,37,3206.060085,141.6,3174.606856,387.9
47,26.71,Great Basin,9800,Campbell,10580,Coke,1,11111000,1,2501,0,2566,28,932,1,1763,8,-26.7,-40,3,0.531457553,216,3011.029665,188.6,1471.735591,235.3
48,34.34,Great Basin,9800,Campbell,10580,Coke,1,11111000,1,2501,0,2566,28,932,1,1763,8,-26.7,-40,3,0.528397333,283,3065.385433,287.3,1447.914205,221.2
49,-0.74,Big Bend,9800,Campbell,8985,Orange Crush,1,11111101,4,736,2,1938,18,900.4794922,2,1074,626,0.7,1,3,0.599503194,108,2699.694344,1336.6,1388.785071,738.6
50,8.38,Great Smoky Mountains,9900,Campbell,8485,Orange Crush,1,11111100,4,701,3,1677,11,1006.78363,1,566,555,0,0,1,0.537465379,148,2720.173821,205,1779.642763,397.4
51,30.48,Great Smoky Mountains,9900,Campbell,8485,Orange Crush,1,11111100,4,701,3,1677,11,1006.78363,1,566,555,0,0,1,0.528623678,163,2698.622709,121.6,1642.325348,422.7
52,,Great Sand Dunes,7500,Campbell,8480,Orange Crush,1,11110111,6,2618,4,2141,15,1297,2,995,393,1.2,1,5,0.562309728,220,3082.436237,188.3,2862.491012,402.2
53,27.8,Great Smoky Mountains,10000,Campbell,8485,Orange Crush,1,11111100,4,701,3,1677,11,1006.78363,1,566,555,0,0,1,0.529695884,228,2602.510781,115.7,1705.952043,483.3
54,-3.75,Guadalupe Mountains,10300,Williams,8485,Orange Crush,1,11111100,4,701,3,1677,11,897.6427612,1,566,555,0,0,1,0.528340498,358,3051.250581,338.4,2137.722016,435.6
55,-1.36,Great Basin,12700,Campbell,8275,Mountain Dew,0,1110,2,2261.509277,0,2760.314941,0,846,2,1317,291,3.5,3.5,6,0.578119357,157,3144.844132,171.1,2918.588565,1057.2
56,-2.27,Great Basin,12600,Campbell,10315,Coke,1,11111000,0,2622,0,2601,36,1757,0,1761,4,0,0,1,0.578508146,164,3139.15703,176.3,2437.832928,741.7
57,7.49,Great Basin,12700,Campbell,10315,Coke,1,11111000,0,2622,0,2601,36,1757,0,1761,4,0,0,1,0.574338272,260,3075.345848,147.2,2844.454398,791.7
58,11.63,Hot Springs,10200,Campbell,8985,Orange Crush,1,11111101,4,736,2,1938,18,651.3717651,2,1074,626,0.7,1,3,0.543487253,211,3246.15202,144.1,3007.073721,426.5
59,-2.38,Guadalupe Mountains,10300,Williams,9295,Mountain Dew,1,10001101,4,1832,2,1829,9,542,2,586,277,1,1,2,0.538644008,367,3406.343871,157.1,2644.198823,336.7
60,33.8,Hot Springs,10300,Campbell,8985,Orange Crush,1,11111101,4,736,2,1938,18,651.3717651,2,1074,626,0.7,1,3,0.535104953,528,3009.242955,124.5,2425.083694,361.8
61,-1.2,Guadalupe Mountains,10300,Williams,8485,Orange Crush,1,11111100,4,701,3,1677,11,897.6427612,1,566,555,0,0,1,0.52199256,123,3441.765756,234.3,2362.696429,980
62,1.58,Grand Canyon,10100,Campbell,8650,Orange Crush,1,11011111,6,710.227356,6,1679,19,1200,0,1217,4,0,0,1,0.560550671,15,3545.666018,170.7,2878.360677,279.1
63,0.1,Grand Canyon,9900,Campbell,8650,Orange Crush,1,11011111,6,710.227356,6,1679,19,1200,0,1217,4,0,0,1,0.561165108,29,3545.595491,238.5,2777.491166,336.1
64,2.87,Joshua Tree,8200,Campbell,8335,Mountain Dew,0,10001001,2,2746,0,2678,4,562,2,1556,21,7.1,16,7,0.557316247,53,3411.085879,264.4,2875.21182,820.7
65,6.98,Hot Springs,7400,Campbell,8335,Mountain Dew,0,10001001,2,2746,0,2678,4,562,2,1556,21,7.1,16,7,0.536369705,28,3278.712697,183.6,3035.88471,389.3
66,0.4,Hot Springs,7400,Campbell,8335,Mountain Dew,0,10001001,2,2746,0,2678,4,562,2,1556,21,7.1,16,7,0.53899411,36,3167.211166,211,2956.639677,562.8
67,60.35,Hot Springs,7400,Campbell,8335,Mountain Dew,0,10001001,2,2746,0,2678,4,562,2,1556,21,7.1,16,7,0.515083309,99,2842.276922,191,2334.65693,453.8
68,26.48,Joshua Tree,8200,Campbell,9495,Orange Crush,1,11101001,6,892,2,1947,8,864,4,1389,602,0.9,1.5,14,0.547561566,132,3391.551227,207.3,2901.845333,756.3
69,25.11,Joshua Tree,8200,Campbell,8755,Orange Crush,0,11101001,4,1893,0,2340,6,858,4,682,388,1.5,1.5,4,0.548127593,211,3385.92728,285.2,2977.532359,966.7
70,22.57,Kings Canyon,10000,Campbell,8985,Orange Crush,1,11111101,4,736,2,1938,18,923.6907349,2,1074,626,0.7,1,3,0.55091589,393,2793.152774,208.9,2435.512097,966.9
71,,Great Basin,9800,Young,10545,Coke,1,11111000,0,1059,0,2628,24,1672,0,1672,17,0,0,1,0.500517285,62,2888.455078,268.3812866,1554.261093,218.6
72,57.13,Great Basin,10000,Young,10550,Coke,1,11110000,0,2781,0,2518,18,1763,0,1792,23,0,0,1,0.499729856,136,2903.189111,148.9,1572.188565,274
73,24.68,Great Basin,9800,Campbell,10545,Coke,1,11111000,0,1059,0,2628,24,1672,0,1672,17,0,0,1,0.512255381,132,3079.502378,458.1,1542.878646,201.4
74,-0.46,Kings Canyon,9900,Campbell,8985,Orange Crush,1,11111101,4,736,2,1938,18,923.6907349,2,1074,626,0.7,1,3,0.562230068,387,3132.680908,232.1712341,1958.012228,393.3
75,49.95,Guadalupe Mountains,10400,Young,9070,Orange Crush,1,10101111,3,1286,1,2105,27,670,2,665,388,-0.5,-0.5,2,0.492984227,98,2956.58701,196.5,2377.513451,637.3
76,,Kings Canyon,9900,Campbell,8985,Orange Crush,1,11111101,4,736,2,1938,18,923.6907349,2,1074,626,0.7,1,3,0.562928571,435,3397.59696,261.9,2263.980877,370.3
77,18.09,Kings Canyon,9900,Campbell,8985,Orange Crush,1,11111101,4,736,2,1938,18,923.6907349,2,1074,626,0.7,1,3,0.554517436,155,3503.145764,287,2588.412089,679.6
78,26.83,Kings Canyon,10000,Campbell,8985,Orange Crush,1,11111101,4,736,2,1938,18,923.6907349,2,1074,626,0.7,1,3,0.553024696,113,3340.95279,198,2544.943509,409.5
79,72.63,Guadalupe Mountains,10600,Campbell,9070,Orange Crush,1,10101111,3,1286,1,2105,27,670,2,665,388,-0.5,-0.5,2,0.490793908,99,2810.163763,209,1716.51506,372.9
80,5.73,Big Bend,9700,Campbell,10075,Coke,1,11110000,1,2356,0,2510,26,1021,1,1050,5,0,0,1,0.57073975,35,2688.771443,185.2,2235.463224,441.3
81,5.14,Big Bend,9700,Campbell,8765,Mountain Dew,0,11001000,4,757,1,2332,4,893,3,1294,368,1.2,1,5,0.570989915,107,2677.106456,158.3,2569.850589,480.7
82,1.47,Kings Canyon,10200,Campbell,8175,Orange Crush,1,10101111,7,1157,6,2009,26,1344,1,958,175,0.7,1,3,0.518512647,50,2983.398776,182.9,2805.494621,556.9
83,86.53,Kings Canyon,10200,Campbell,8175,Orange Crush,1,10101111,7,1157,6,2009,26,1344,1,958,175,0.7,1,3,0.485850131,48,2585.168365,198.1,2318.978438,617.4
84,38.63,Kings Canyon,10200,Campbell,8175,Orange Crush,1,10101111,7,1157,6,2009,26,1344,1,958,175,0.7,1,3,0.504243436,124,3010.465332,232.1712341,2696.502663,927.1
86,9.41,Kings Canyon,7400,Campbell,10175,Coke,1,11111000,1,1432.526855,1,2273,20,1249,0,2641,970,6.7,3,9,0.486643219,28,3030.600808,122.8,2894.154482,380.2
88,4.52,Kings Canyon,7500,Campbell,10175,Coke,1,11111000,1,1432.526855,1,2273,20,1249,0,2641,970,6.7,3,9,0.488415961,88,2960.748549,150.7,2804.015668,481
89,15.09,Kings Canyon,7500,Campbell,8775,Orange Crush,1,11101000,6,1607,4,1791,14,696,2,721,7,-0.5,-0.5,2,0.484584082,100,3064.953528,205.3,3064.953528,340.1
90,25.29,Mammoth Cave,15300,Campbell,8985,Orange Crush,1,11111101,4,736,2,1938,18,937.5639038,2,1074,626,0.7,1,3,0.503955815,123,3295.453913,241.3,2522.626225,396.5
92,29.13,Mammoth Cave,15300,Campbell,8985,Orange Crush,1,11111101,4,736,2,1938,18,937.5639038,2,1074,626,0.7,1,3,0.501580903,134,3480.775229,225.4,2574.593043,195.1
95,29.48,Lake Clark,12400,Williams,8330,Orange Crush,1,10001111,5,876.4413452,3,1925,18,932,2,1340,134,1.5,1.5,4,0.498599038,233,2768.887457,215.6,2371.409781,351
96,,Carlsbad Caverns,10100,Williams,8335,Mountain Dew,0,10001001,2,2746,0,2678,4,562,2,1556,21,7.1,16,7,0.514748458,47,2756.766649,188.4,2073.483878,380.3
97,12.63,Carlsbad Caverns,10100,Williams,8335,Mountain Dew,0,10001001,2,2746,0,2678,4,562,2,1556,21,7.1,16,7,0.511444884,50,2594.2212,310.2,1890.757538,455.1
98,102.51,Great Basin,12400,Young,10255,Coke,1,11111000,2,772,2,2366,27,1748,0,1748,24,0,0,1,0.517879525,87,2269.844556,128.3,1693.156406,556
99,92.25,Great Basin,12400,Young,10255,Coke,1,11111000,2,772,2,2366,27,1748,0,1748,24,0,0,1,0.52494356,89,2377.199546,120.3,1710.870419,523.8
100,6.34,Carlsbad Caverns,10100,Williams,8240,Coke,0,10001001,1,1930.94519,0,2971,1,717,1,1656,47,-4.8,-5,6,0.513847136,107,2730.315121,196.7,1933.705533,426
101,6.17,Carlsbad Caverns,10100,Williams,8240,Coke,0,10001001,1,1930.94519,0,2971,1,717,1,1656,47,-4.8,-5,6,0.513912062,120,2575.69115,239.3,2075.546549,527.9
102,7.24,Carlsbad Caverns,7300,Williams,8180,Coke,0,10001000,2,1213,0,2194,5,578,2,1129,26,-1.3,-2.5,4,0.505226105,35,2781.318653,294.9,2295.844348,416
103,-4.14,Carlsbad Caverns,7300,Williams,8240,Coke,0,10001001,1,1930.94519,0,2971,1,717,1,1656,47,-4.8,-5,6,0.509502253,34,2906.213082,305.5,2247.58738,363.4
104,26.68,Carlsbad Caverns,7300,Williams,8160,Coke,1,10001000,2,616,1,1870,7,569,1,1601,44,5,5,4,0.497921332,91,2738.838669,217.1,1984.22885,327.7
105,0.67,Denali,10200,Campbell,9000,Mountain Dew,0,11111000,4,2256.3125,0,2128.180176,0,879,4,1495,316,0.2,0,9,0.554482208,30,3148.721362,291.6,2662.974152,638.3
106,-2.8,Denali,9400,Campbell,10270,Coke,1,111000,0,577.7485352,0,1870,8,1440,0,1440,6,0,0,1,0.555906257,54,3202.266903,292.2,2314.917876,609.1
107,55.13,Denali,10200,Campbell,10270,Coke,1,111000,0,577.7485352,0,1870,8,1440,0,1440,6,0,0,1,0.532132444,135,2924.140031,309.5,2087.818061,752.4
108,1.51,Glacier,10100,Campbell,8530,Orange Crush,0,111100,4,2096.267578,0,2161.416016,0,959,4,1561,331,-5,-0.5,10,0.562450063,112,3132.012505,197.9,2839.83509,656
109,33.77,Lake Clark,10800,Williams,8350,Orange Crush,1,11011111,8,1707,3,1985,24,792,5,1304,300,-18.6,-27.5,10,0.485013292,33,2582.552389,153.4,2372.739292,684.7
110,18.72,Glacier,10300,Campbell,8500,Orange Crush,0,11011010,5,2055.75,0,2292.501221,0,627,5,1221,326,-7.5,-2.5,10,0.553742583,32,3214.919515,215.6,3058.222424,611.8
111,-0.55,Lake Clark,9800,Williams,8325,Orange Crush,1,10011111,7,872.7144165,3,1937,19,708,4,697,130,0.3,0.5,4,0.502013393,35,2691.456299,232.1712341,2509.734182,626.1
112,14.37,Lake Clark,10600,Williams,10440,Coke,1,1111000,1,1900.354614,0,2217,15,1000,1,1000,18,0,0,1,0.492152253,99,2718.909404,164,2123.056545,644.9
113,45.67,Glacier,10300,Campbell,8515,Orange Crush,0,11011101,7,2089.91748,0,2033.772339,0,959,7,1050,327,-3.9,1,10,0.542547808,132,3183.079823,189.3,3091.153367,476.8
114,-0.46,Lake Clark,9800,Williams,10440,Coke,1,11111000,1,1901,0,2213,18,1000,1,1000,9,0,0,1,0.501979983,107,2225.376221,236.9354553,2879.175352,571.6
115,23,Lake Clark,10600,Williams,10420,Coke,1,11111000,1,1701.175171,0,2270,18,1000,1,1000,18,0,0,1,0.488976519,162,2576.100462,198.1,2386.942578,616.2
116,11.92,Lake Clark,9800,Williams,8375,Orange Crush,1,11011111,8,1000.99646,3,1808,16,755,5,1479,284,11.6,2,12,0.498518451,167,2670.179469,156,2619.197522,730.6
117,0.89,Canyonlands,15700,Williams,8985,Orange Crush,1,11111101,4,736,2,1938,18,937.5639038,2,1074,626,0.7,1,3,0.544308289,131,3135.863594,222,1958.565871,250.8
118,-2.13,Arches,11100,Campbell,8445,Orange Crush,1,10101111,5,2081,4,1948,25,1439,1,1048,183,0.7,1,3,0.522708084,445,2903.359808,154.7,2793.901301,621.5
119,-1.45,Hot Springs,9800,Campbell,8160,Coke,1,10001000,2,616,1,1870,7,569,1,1601,44,5,5,4,0.551499235,42,3383.440746,176.9,2830.180516,619.8
120,-1.63,Hot Springs,10000,Campbell,8160,Coke,1,10001000,2,616,1,1870,7,569,1,1601,44,5,5,4,0.551572593,38,3452.534082,254.1,2665.209027,740.3
121,0.25,Canyonlands,15600,Williams,8985,Orange Crush,1,11111101,4,736,2,1938,18,937.5639038,2,1074,626,0.7,1,3,0.544566161,228,3179.769204,209.3,2010.03753,809.2
122,3.63,Kings Canyon,11800,Campbell,8985,Orange Crush,1,11111101,4,736,2,1938,18,923.6907349,2,1074,626,0.7,1,3,0.595283831,119,2888.209673,172.5,2438.908726,577.7
123,10.28,Arches,11200,Campbell,8445,Orange Crush,1,10101111,5,2081,4,1948,25,1439,1,1048,183,0.7,1,3,0.517916936,514,2810.670566,189.1,2379.488149,637.4
124,15.66,Canyonlands,15400,Williams,8985,Orange Crush,1,11111101,4,736,2,1938,18,937.5639038,2,1074,626,0.7,1,3,0.537945825,337,2758.176414,182.7,2054.635437,446.1
125,40.52,Hot Springs,10000,Campbell,8160,Coke,1,10001000,2,616,1,1870,7,569,1,1601,44,5,5,4,0.534394724,133,3069.592497,251.7,2324.338199,702.7
126,5.25,Big Bend,10100,Williams,9205,Orange Crush,1,11111101,6,974,5,1863,24,579,1,928,3,1,1,2,0.591149071,317,3405.908673,242.3,2287.406549,594.9
127,-5.71,Mount Rainier,7400,Campbell,9545,Orange Crush,1,1111101,3,1131.72583,1,1723,7,1450,2,1004,209,-1,-1,4,0.510718973,358,3129.436529,137.3,3092.401778,435.3
128,22.28,Big Bend,10200,Williams,9205,Orange Crush,1,11111101,6,974,5,1863,24,579,1,928,3,1,1,2,0.583672645,392,3019.273459,246.6,2491.999092,604.9
129,81.66,Canyonlands,10300,Young,8335,Mountain Dew,0,10001001,2,2746,0,2678,4,562,2,1556,21,7.1,16,7,0.511177664,48,2178.831474,163.6,1487.563294,707.9
130,1.55,Mount Rainier,7600,Campbell,9570,Orange Crush,1,11110010,3,1050.56604,1,1578,8,1450,2,1078,191,0.3,0.5,4,0.510585209,301,3317.264094,198.3,3062.836299,459.5
131,,Big Bend,10200,Williams,8860,Mountain Dew,1,11111010,11,237,6,1769,10,388,5,598,195,0,0,5,0.588176939,491,3120.067826,214.9,2437.221124,529.3
132,70.53,Canyonlands,10300,Young,8335,Mountain Dew,0,10001001,2,2746,0,2678,4,562,2,1556,21,7.1,16,7,0.515657072,113,2147.943132,189.7,1531.745871,638.6
133,8.07,Mount Rainier,7600,Campbell,10385,Coke,1,11111000,3,1348,3,2164,32,1366,0,2081,1639,-10,-13,4,0.508119701,383,3156.085533,129.5,3062.097199,919.4
134,0.85,Acadia,10300,Campbell,8160,Coke,1,10001000,2,616,1,1870,7,569,1,1601,44,5,5,4,0.574264328,107,3479.21576,224.5,3024.888888,390.9
135,62.68,Canyonlands,10300,Young,8335,Mountain Dew,0,10001001,2,2746,0,2678,4,562,2,1556,21,7.1,16,7,0.518816402,187,2206.131451,734,1571.450458,659.5
136,0.88,Acadia,10300,Campbell,8160,Coke,1,10001000,2,616,1,1870,7,569,1,1601,44,5,5,4,0.574251575,151,3440.218761,202.4,2890.949204,327.6
137,,Dry Tortugas,7300,Campbell,8920,Orange Crush,1,11011000,3,1217,1,1999,12,610,2,746,400,2,2,2,0.606818415,38,3148.416568,146.8,3195.083894,1018
138,11.23,Dry Tortugas,7300,Campbell,9315,Orange Crush,1,11111010,7,837,4,1923,32,784,3,1485,751,2.9,-1,9,0.60038708,156,3119.387257,152,2420.874159,505.6
139,58.05,Everglades,10500,Young,8870,Mountain Dew,0,1110,3,2780,0,2629,3,858,3,1024,318,-1.2,-1,5,0.502460988,101,2485.747411,207.4,2501.605448,676.6
140,67.17,Everglades,10500,Young,8810,Mountain Dew,0,10001101,4,1781,0,2300,12,666,4,851,343,0,0,5,0.498918962,246,2416.34651,224.1,2168.165348,805
141,-1.91,Great Basin,9800,Campbell,9120,Sprite,1,11011101,3,1526,2,2045,20,796,1,814,18,0,0,1,0.58533376,48,3012.960439,138.8,2625.100015,636.4
142,-0.13,Great Basin,9800,Campbell,8765,Orange Crush,1,11111101,10,705,9,1639,30,818,1,818,4,0,0,1,0.582275356,49,2939.421008,193.2,2292.099985,766.5
143,29.05,North Cascades,7400,Campbell,10085,Coke,1,11110000,0,1489.7948,0,2263,20,1147,0,1154,6,0,0,1,0.539171012,171,2725.084317,152.6,1668.609211,502
144,33.22,North Cascades,7400,Campbell,9980,Coke,1,11111000,1,734,1,2186,18,1703,0,1731,1,0,0,1,0.537471243,220,2703.052235,183.5,1703.5611,550.8
145,-3.13,Great Sand Dunes,7300,Campbell,8455,Orange Crush,0,1001101,5,2119.584961,0,1961.406494,0,1260,5,1578,458,1.9,-1,14,0.574183679,36,3418.652943,268,2803.295414,444.6
146,14.06,Olympic,12600,Williams,9110,Orange Crush,1,11011001,6,1465,1,2172,17,1011,5,1018,597,-0.6,-1,7,0.552795941,679,3173.314467,577.2,1813.776337,532.9
147,52.38,Petrified Forest,11800,Young,8215,Mountain Dew,1,10001011,2,1934,2,1876,10,1320,0,1650,14,1,1,2,0.482264741,39,2383.651435,147.2,1890.723517,673.8
148,-0.56,Great Sand Dunes,7300,Campbell,8535,Orange Crush,1,10011110,3,1620,0,2220,12,934.2380371,3,543,507,0.7,1,3,0.573094568,113,3349.964309,143.4,3174.788642,455.8
149,11.31,Petrified Forest,11800,Williams,8215,Mountain Dew,1,10001011,2,1934,2,1876,10,1320,0,1650,14,1,1,2,0.497507574,129,2692.737861,176.5,2094.233551,800.8
